point,"Point 1 (75,75)","Point 1 (75,75)","Point 1 (75,75)","Point 1 (75,75)","Point 2 (85,85)","Point 2 (85,85)","Point 2 (85,85)","Point 2 (85,85)","Point 3 (60,80)","Point 3 (60,80)","Point 3 (60,80)","Point 3 (60,80)","Point 4 (37,37)","Point 4 (37,37)","Point 4 (37,37)","Point 4 (37,37)","Point 5 (112,112)","Point 5 (112,112)","Point 5 (112,112)","Point 5 (112,112)"
receptor,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2,FA1,FA2,SA1,SA2
time,,,,,,,,,,,,,,,,,,,,
0.36,0.5896180051261475,-0.9151127743139058,0.28213433325203585,0.05689574640257655,0.3590545103713857,-0.5572682079910113,0.17180887287031515,0.03464730416843527,0.33281362191055114,-0.5165412084233527,0.1592525134893721,0.03211516484727169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,0.58071470978066,-0.9012944729165567,0.28802741365298085,0.05979335001250487,0.3535289618428576,-0.5486923164822952,0.17534605343384885,0.03640114603436117,0.3276914930064156,-0.5085914417081169,0.1625309840048159,0.033740788389627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,0.5719431210030321,-0.8876805858377241,0.29383319578203804,0.0627496080790237,0.34808838784376117,-0.5402483091370522,0.1788288374469454,0.03818982886925816,0.3226481470596256,-0.5007639495673265,0.16575902862057523,0.035398703178576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,0.563301375679222,-0.8742682214434184,0.2995529184329001,0.0657636543989179,0.34273148340081255,-0.5319341605800149,0.18225806029278155,0.04001281693804123,0.31768237380253284,-0.49305685361298973,0.1689374219839143,0.03708841260006927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.5547876343391677,-0.8610545247961789,0.30518780454926336,0.06883463451381773,0.3374569635262361,-0.5237478764543053,0.18563454456065184,0.04186958272085489,0.31279298151423085,-0.4854683042424531,0.17206692687095274,0.038809427659046415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,0.546400080946951,-0.8480366773293047,0.31073906137027857,0.07196170558517428,0.3322635629133834,-0.515687492949,0.18895910024082405,0.043759606787787675,0.30797879673772866,-0.4779964801994561,0.17514829436769622,0.040561266863114544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,0.5381369226894771,-0.8352118965189311,0.3162078805767762,0.075144036269344,0.32715003563693484,-0.50775107633384,0.19223252491645998,0.0456823776754758,0.3032386640013933,-0.47063958814180096,0.17818226404833293,0.042343456107985254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,0.5299963897638365,-0.8225774355540191,0.32159543843816213,0.07838080659283764,0.3221151548576176,-0.49993672250094506,0.195455603952645,0.04763739176556862,0.29857144554460024,-0.46339586221553714,0.1811695641508374,0.04415552856464401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,0.5219767351635116,-0.8101305830045027,0.3269028959598857,0.0816712078277871,0.3171577125313736,-0.49224255651342486,0.19862911068256878,0.049624153165028044,0.2939760210475287,-0.45626356363560167,0.18411091174992159,0.045997024568226394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.5140762344635785,-0.7978686624879512,0.33213139903138145,0.0850144423676797,0.3122765191229119,-0.4846667321608022,0.20175380659089956,0.051642173588235224,0.28945128736503933,-0.44924098027278486,0.18700701292737168,0.04786749150857558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,0.5062931856050521,-0.7857890323348357,0.3372820785743968,0.08840972360340858,0.3074704033235802,-0.4772074315211282,0.20483044149439275,0.05369097224087753,0.2849961582645762,-0.4423264262469456,0.18985856293981065,0.04976648372245653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,0.49862590867851597,-0.7738890852526966,0.3423560506916162,0.09185627579968425,0.30273821177349325,-0.46986286452972775,0.20785975371977505,0.05577007570558958,0.2806095641680306,-0.43551824152636764,0.19266624638392338,0.05169356238740191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,0.4910727457071691,-0.7621662479894817,0.34735441681549895,0.09535333397185075,0.2980788087878529,-0.46263126855442605,0.21084247027894434,0.05787901782932251,0.27629045189751034,-0.42881479153317936,0.1954307373591826,0.05364829541716567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,0.48363206042941925,-0.7506179809960719,0.35227826385725086,0.09890014376314751,0.29349107608740094,-0.45551090797720317,0.2137793070415247,0.06001733961241577,0.2720377844249551,-0.42221446675474267,0.19815269962811344,0.05563025735876051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.4763022380811479,-0.7392417780883594,0.35712866435585383,0.10249596132245631,0.2889739125329409,-0.44850007378215934,0.21667096890481596,0.06218458909934633,0.26785054062554114,-0.41571568236095346,0.20083278677413172,0.05763902929105532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
